Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
188,2025-05-31T10:04:08.400,39.5356213,-122.3338547,99.5,0.11,0.000,-0.016,1.000,0,0.15,-0.12,0.01
189,2025-05-31T10:04:08.440,39.5356213,-122.3338547,99.5,0.10,0.000,-0.017,1.000,0,0.15,-0.12,0.01
190,2025-05-31T10:04:08.480,39.5356214,-122.3338547,99.4,0.03,0.000,-0.016,1.000,0,0.16,-0.13,0.01
191,2025-05-31T10:04:08.520,39.5356214,-122.3338547,99.4,0.07,0.000,-0.016,1.000,0,0.16,-0.13,0.01
192,2025-05-31T10:04:08.560,39.5356215,-122.3338549,99.4,0.07,0.000,-0.016,1.000,0,0.17,-0.14,0.02
193,2025-05-31T10:04:08.600,39.5356215,-122.3338549,99.4,0.05,0.000,-0.016,1.000,0,0.17,-0.14,0.02
194,2025-05-31T10:04:08.640,39.5356216,-122.3338549,99.4,0.05,0.000,-0.016,1.000,0,0.17,-0.14,0.02
195,2025-05-31T10:04:08.680,39.5356216,-122.3338550,99.4,0.10,0.000,-0.016,1.000,0,0.17,-0.13,0.02
196,2025-05-31T10:04:08.720,39.5356218,-122.3338550,99.4,0.11,0.000,-0.016,1.000,0,0.17,-0.13,0.02
197,2025-05-31T10:04:08.760,39.5356219,-122.3338552,99.3,0.18,0.000,-0.016,1.000,0,0.16,-0.12,0.02
198,2025-05-31T10:04:08.800,39.5356219,-122.3338552,99.3,0.15,0.000,-0.016,1.000,0,0.16,-0.11,0.02
199,2025-05-31T10:04:08.840,39.5356219,-122.3338552,99.3,0.09,0.000,-0.016,1.000,0,0.16,-0.11,0.02
200,2025-05-31T10:04:08.880,39.5356219,-122.3338552,99.3,0.02,0.000,-0.016,1.001,0,0.16,-0.09,0.02
201,2025-05-31T10:04:08.920,39.5356219,-122.3338552,99.3,0.06,0.000,-0.016,1.001,0,0.16,-0.08,0.02
202,2025-05-31T10:04:08.960,39.5356219,-122.3338552,99.3,0.11,0.000,-0.016,1.001,0,0.16,-0.06,0.02
203,2025-05-31T10:04:09.000,39.5356219,-122.3338552,99.3,0.14,0.000,-0.016,1.001,0,0.16,-0.06,0.03
204,2025-05-31T10:04:09.040,39.5356219,-122.3338552,99.3,0.18,0.000,-0.017,1.001,0,0.16,-0.07,0.03
205,2025-05-31T10:04:09.080,39.5356219,-122.3338552,99.3,0.10,0.000,-0.017,1.001,0,0.16,-0.08,0.03
